,MSFT
2010-04-12 16:00:00,
2010-04-13 16:00:00,
2010-04-14 16:00:00,
2010-04-15 16:00:00,
2010-04-16 16:00:00,
2010-04-19 16:00:00,
2010-04-20 16:00:00,
2010-04-21 16:00:00,
2010-04-22 16:00:00,
2010-04-23 16:00:00,
2010-04-26 16:00:00,
2010-04-27 16:00:00,
2010-04-28 16:00:00,
2010-04-29 16:00:00,
2010-04-30 16:00:00,
2010-05-03 16:00:00,
2010-05-04 16:00:00,
2010-05-05 16:00:00,
2010-05-06 16:00:00,
2010-05-07 16:00:00,-2.9760430195688756
2010-05-10 16:00:00,-1.799849644405241
2010-05-11 16:00:00,-1.6351468515289271
2010-05-12 16:00:00,-0.9588100188328754
2010-05-13 16:00:00,-1.0471232328199969
2010-05-14 16:00:00,-1.2307549346846667
2010-05-17 16:00:00,-1.1009303020353265
2010-05-18 16:00:00,-1.1713716722249603
2010-05-19 16:00:00,-1.3684833352897958
2010-05-20 16:00:00,-2.094391492184052
2010-05-21 16:00:00,-1.9903591653490844
2010-05-24 16:00:00,-2.0812095005219664
2010-05-25 16:00:00,-1.9219840252253657
2010-05-26 16:00:00,-2.2217670715503814
2010-05-27 16:00:00,-1.4480627511847244
2010-05-28 16:00:00,-1.4213920710203258
2010-06-01 16:00:00,-1.2584813459522095
2010-06-02 16:00:00,-0.8059376982089077
2010-06-03 16:00:00,-0.4551938637086677
2010-06-04 16:00:00,-1.1128330274463765
